episode,final_coverage,avg_coverage,best_coverage,epsilon,episodes_per_sec
320,24.00,27.20,64.00,0.0495,310.63
330,26.75,29.08,64.00,0.0495,106.41
340,30.50,31.75,64.00,0.0495,65.33
350,31.50,32.61,64.00,0.0495,47.65
360,30.25,33.11,64.00,0.0495,38.00
370,35.75,33.50,64.00,0.0495,31.59
380,25.25,33.44,64.00,0.0495,27.30
390,31.00,33.00,64.00,0.0495,24.07
400,30.75,32.89,64.00,0.0495,21.56
410,31.00,32.42,64.00,0.0495,19.63
420,28.50,32.62,64.00,0.0495,18.10
430,23.00,32.89,64.00,0.0495,16.88
440,32.00,32.50,64.00,0.0495,15.92
